Accession_number 	ID 	Description
P00370	DHE4_ECOLI	RecName: Full=NADP-specific glutamate dehydrogenase; Short=NADP-GDH; EC=1.4.1.4;
P00448	SODM_ECOLI	RecName: Full=Superoxide dismutase [Mn]; EC=1.15.1.1; AltName: Full=MnSOD;
P00509	AAT_ECOLI	RecName: Full=Aspartate aminotransferase; Short=AspAT; EC=2.6.1.1; AltName: Full=Transaminase A;
P00547	KHSE_ECOLI	RecName: Full=Homoserine kinase; Short=HK; Short=HSK; EC=2.7.1.39;
P00582	DPO1_ECOLI	RecName: Full=DNA polymerase I; Short=POL I; EC=2.7.7.7;
P00811	AMPC_ECOLI	RecName: Full=Beta-lactamase; EC=3.5.2.6; AltName: Full=Cephalosporinase; Flags: Precursor;
P00861	DCDA_ECOLI	RecName: Full=Diaminopimelate decarboxylase; Short=DAP decarboxylase; Short=DAPDC; EC=4.1.1.20;
P00888	AROF_ECOLI	RecName: Full=Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive; EC=2.5.1.54; AltName: Full=3-deoxy-D-arabino-heptulosonate 7-phosphate synthase; AltName: Full=DAHP synthase; AltName: Full=Phospho-2-keto-3-deoxyheptonate aldolase;
P00894	ILVH_ECOLI	RecName: Full=Acetolactate synthase isozyme 3 small subunit; EC=2.2.1.6; AltName: Full=ALS-III; AltName: Full=Acetohydroxy-acid synthase III small subunit; Short=AHAS-III;
P00904	TRPG_ECOLI	RecName: Full=Anthranilate synthase component II; EC=4.1.3.27; Includes: RecName: Full=Glutamine amidotransferase; Includes: RecName: Full=Anthranilate phosphoribosyltransferase; EC=2.4.2.18;
P00934	THRC_ECOLI	RecName: Full=Threonine synthase; Short=TS; EC=4.2.3.1;
P00946	MANA_ECOLI	RecName: Full=Mannose-6-phosphate isomerase; EC=5.3.1.8; AltName: Full=Phosphohexomutase; AltName: Full=Phosphomannose isomerase; Short=PMI;
P00957	SYA_ECOLI	RecName: Full=Alanyl-tRNA synthetase; EC=6.1.1.7; AltName: Full=Alanine--tRNA ligase; Short=AlaRS;
P00959	SYM_ECOLI	RecName: Full=Methionyl-tRNA synthetase; EC=6.1.1.10; AltName: Full=Methionine--tRNA ligase; Short=MetRS;
P00962	SYQ_ECOLI	RecName: Full=Glutaminyl-tRNA synthetase; EC=6.1.1.18; AltName: Full=Glutamine--tRNA ligase; Short=GlnRS;
P00963	ASNA_ECOLI	RecName: Full=Aspartate--ammonia ligase; EC=6.3.1.1; AltName: Full=Asparagine synthetase A;
P02358	RS6_ECOLI	RecName: Full=30S ribosomal protein S6; Contains: RecName: Full=30S ribosomal protein S6, fully modified isoform; Contains: RecName: Full=30S ribosomal protein S6, non-modified isoform;
P02925	RBSB_ECOLI	RecName: Full=D-ribose-binding periplasmic protein; Flags: Precursor;
P02930	TOLC_ECOLI	RecName: Full=Outer membrane protein tolC; Flags: Precursor;
P02931	OMPF_ECOLI	RecName: Full=Outer membrane protein F; AltName: Full=Outer membrane protein 1A; AltName: Full=Outer membrane protein B; AltName: Full=Outer membrane protein IA; AltName: Full=Porin OmpF; Flags: Precursor;
P02932	PHOE_ECOLI	RecName: Full=Outer membrane pore protein E; Flags: Precursor;
P03007	DPO3E_ECOLI	RecName: Full=DNA polymerase III subunit epsilon; EC=2.7.7.7;
P04036	DAPB_ECOLI	RecName: Full=Dihydrodipicolinate reductase; Short=DHPR; EC=1.3.1.26;
P04391	OTC1_ECOLI	RecName: Full=Ornithine carbamoyltransferase chain I; EC=2.1.3.3; AltName: Full=OTCase-1;
P04816	LIVK_ECOLI	RecName: Full=Leucine-specific-binding protein; Short=L-BP; Short=LS-BP; Flags: Precursor;
P04846	NLPA_ECOLI	RecName: Full=Lipoprotein 28; Flags: Precursor;
P04949	FLIC_ECOLI	RecName: Full=Flagellin;
P04951	KDSB_ECOLI	RecName: Full=3-deoxy-manno-octulosonate cytidylyltransferase; EC=2.7.7.38; AltName: Full=CMP-2-keto-3-deoxyoctulosonic acid synthase; Short=CKS; Short=CMP-KDO synthase;
P05055	PNP_ECOLI	RecName: Full=Polyribonucleotide nucleotidyltransferase; EC=2.7.7.8; AltName: Full=Polynucleotide phosphorylase; Short=PNPase;
P05194	AROD_ECOLI	RecName: Full=3-dehydroquinate dehydratase; Short=3-dehydroquinase; EC=4.2.1.10; AltName: Full=Type I DHQase;
